;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
r_asis_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
l_asis_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
MIDASIS_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
r_knee_1_x;gyro_x;mag_gyro;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
r_knee_1_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;yaw;NaN
l_knee_1_x;acc_z;gyro_x;gyro_y;gyro_z;jerk_x;mag_gyro;pitch;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_knee_1_y;gyro_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_knee_1_z;acc_x;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_z;vel_x;vel_y;vel_z;yaw;NaN;NaN;NaN
r_mall_z;acc_x;acc_y;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_y;vel_x;vel_y;yaw;NaN;NaN;NaN;NaN;NaN
l_mall_x;acc_z;ang_acc_gyro_x;gyro_x;gyro_y;gyro_z;jerk_x;mag_gyro;pitch;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_mall_y;acc_z;gyro_y;jerk_x;pitch;pos_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_mall_z;acc_x;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_z;roll;vel_x;vel_y;vel_z;yaw;NaN;NaN
r_heel_z;acc_x;acc_y;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_y;vel_x;vel_y;yaw;NaN;NaN;NaN;NaN;NaN
l_heel_x;acc_z;ang_acc_gyro_x;gyro_x;gyro_y;gyro_z;jerk_x;mag_gyro;pitch;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_heel_y;acc_z;gyro_y;jerk_x;pitch;pos_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_heel_z;acc_x;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_z;vel_x;vel_y;vel_z;yaw;NaN;NaN;NaN
r_met_z;acc_x;acc_y;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;pitch;pos_x;pos_y;vel_x;vel_y;yaw;NaN;NaN;NaN;NaN;NaN
l_met_x;acc_z;ang_acc_gyro_x;gyro_x;gyro_y;gyro_z;jerk_x;mag_gyro;pitch;pos_z;vel_x;vel_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN
l_met_z;acc_x;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_z;roll;vel_x;vel_y;vel_z;yaw;NaN;NaN
SHO_x;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
SHO_y;vel_z;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
SHO_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
PO_z;acc_x;acc_y;acc_z;ang_acc_gyro_x;ang_acc_gyro_y;gyro_x;gyro_y;jerk_x;mag_acc;mag_gyro;pitch;pos_x;pos_y;pos_z;roll;vel_x;vel_y;vel_z;yaw
r_force_x;acc_x;acc_y;ang_acc_gyro_x;ang_acc_gyro_y;jerk_x;mag_acc;pos_x;pos_y;roll;yaw;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
